parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
gene_accession_id,MGI:1918025
pvalue,0.1950781
analysis_id,q43lizjo17urmh4
mouse_strain,129SV
gene_symbol,Zmynd8
mouse_life_stage,Early adult
