gene_symbol,Extl1
parameter_name,Tibia length
mouse_strain,C57BL
analysis_id,2ncwhc47b9k8p77
mouse_life_stage,Early adult
gene_accession_id,MGI:1888742
pvalue,0.692988
parameter_id,TCPLA_XRY_033_001
