parameter_name,Neutrophil cell count
mouse_strain,C57BL
gene_accession_id,MGI:2443129
parameter_id,IMPC_HEM_030_001
analysis_id,9x0ics4r336yx64
gene_symbol,Golm2
mouse_life_stage,Early adult
pvalue,0.524922
