analysis_id,xvub72kny7y1moe
gene_accession_id,MGI:1914561
parameter_name,Mean platelet volume
parameter_id,IMPC_HEM_019_001
gene_symbol,Nanp
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.9863984
