parameter_name,center - distance
mouse_life_stage,Middle aged adult
parameter_id,M-G-P_007_001_010
pvalue,0.1201714
gene_symbol,Slc30a4
analysis_id,k0jf94h8yby9146
gene_accession_id,MGI:1345282
mouse_strain,C57BL
