parameter_name,% Freezing duration pre-cue-2
mouse_life_stage,Early adult
pvalue,0.5447844
parameter_id,ICS_FEA_019_001
analysis_id,2k76nbgwk85jk0b
mouse_strain,C57BL
gene_symbol,Kif24
gene_accession_id,MGI:1918345
