mouse_strain,C57BL
pvalue,0.5565742
gene_symbol,Bach2
analysis_id,348697786d65wtb
parameter_id,IMPC_HEM_038_001
parameter_name,Basophil differential count
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
