parameter_name,Fasted blood glucose concentration
pvalue,0.584676
gene_symbol,Bmi1
mouse_strain,C57BL
gene_accession_id,MGI:88174
parameter_id,IMPC_IPG_010_001
mouse_life_stage,E12.5
analysis_id,3c8txox95t66863
