gene_symbol,Wars2
mouse_life_stage,Early adult
analysis_id,6mj4516bm765200
mouse_strain,C57BL
pvalue,0.423153
gene_accession_id,MGI:1917810
parameter_id,IMPC_OFD_018_001
parameter_name,Latency to center entry
