gene_symbol,Bach2
parameter_name,KLRG1+ mature NK cell percentage
mouse_strain,C57BL
pvalue,0.8337599
mouse_life_stage,Early adult
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:894679
analysis_id,x8e78nbm1wu08e7
