analysis_id,n06861t3s2lw8qp
parameter_name,Effector CD4+ T helper cells - % of CD45+
pvalue,0.2960967
gene_accession_id,MGI:1276578
mouse_life_stage,Early adult
parameter_id,MGP_IMM_073_001
gene_symbol,Gfi1b
mouse_strain,C57BL
