gene_symbol,Zc2hc1a
pvalue,0.9154859
gene_accession_id,MGI:1914556
analysis_id,90459308zkbe906
parameter_id,CCP_LFO_001_001
parameter_name,Weight
mouse_life_stage,Early adult
mouse_strain,C57BL
