gene_symbol,Lurap1
gene_accession_id,MGI:1915325
parameter_id,JAX_OFD_021_001
parameter_name,Number of rears - total
analysis_id,wl3654rfuu9368h
pvalue,0.4280414
mouse_life_stage,Early adult
mouse_strain,C57BL
