analysis_id,h34p0x6f51z8mga
mouse_life_stage,Early adult
pvalue,0.4771802
parameter_id,MGP_MLN_013_001
gene_symbol,Arpc5l
gene_accession_id,MGI:1921442
mouse_strain,C57BL
parameter_name,Effector CD8+ T cells - % of CD8+
