gene_symbol,Cds2
parameter_name,Time mobile light side
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
analysis_id,6s7guw416j9d6af
mouse_strain,C57BL
pvalue,0.2911857
parameter_id,JAX_LDT_003_001
