analysis_id,k351q22y1s9d7vs
gene_symbol,Cntfr
pvalue,0.9779873
parameter_name,Calcium
mouse_life_stage,Early adult
gene_accession_id,MGI:99605
mouse_strain,C57BL
parameter_id,HMGULA_CBC_009_001
