parameter_name,Sacral processes
pvalue,0.1071107
parameter_id,IMPC_XRY_066_001
gene_symbol,Kcng1
analysis_id,dyu177d0l53o979
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:3616086
