gene_symbol,Ppm1j
parameter_id,TCPLA_XRY_033_001
parameter_name,Tibia length
mouse_strain,C57BL
analysis_id,2fjwyd8a61wzpt7
gene_accession_id,MGI:1919137
mouse_life_stage,Early adult
pvalue,0.1687384
