analysis_id,q363s064576lpm2
parameter_name,Periphery - Permanence Time
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,M-G-P_007_001_008
gene_symbol,Frmpd1
pvalue,0.2701792
gene_accession_id,MGI:2446274
