gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
parameter_id,MGP_IMM_079_001
gene_accession_id,MGI:1924360
parameter_name,KLRG1+ Treg cells - % of CD45+
pvalue,0.4333058
mouse_strain,C57BL
analysis_id,q72x37b2wtp3zr8
