parameter_name,Periphery average speed
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_013_001
analysis_id,x48937r97s3zlj4
mouse_life_stage,Early adult
pvalue,0.9094118
gene_accession_id,MGI:2140475
gene_symbol,AU040320
