gene_symbol,Tubb4b
parameter_name,Eye
pvalue,0.05955564
mouse_strain,C57BL
parameter_id,M-G-P_014_001_001
analysis_id,ja4eo9t3xxle47a
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
