analysis_id,5s45191wj1qm130
parameter_id,MGP_MLN_071_001
parameter_name,Resting Treg cells - % of CD45+
Mouse_strain,C57BL
gene_symbol,Ap5s1
pvalue,0.1982405
gene_accession_id,MGI:1916846
mouse_life_stage,Early adult
