gene_symbol,Atf3
pvalue,0.8883805
parameter_name,Femur
gene_accession_id,MGI:109384
analysis_id,7ff96y21h9en7c4
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_024_001
