parameter_id,IMPC_DXA_009_001
gene_symbol,Dcaf12
parameter_name,Fat/Body weight
mouse_strain,C57BL
gene_accession_id,MGI:1916220
analysis_id,da0q96t22w1zoqd
mouse_life_stage,Early adult
pvalue,0.1091866
