gene_symbol,Cd52
parameter_name,Time mobile dark side
mouse_strain,C57BL
analysis_id,mmf9f4a1e19w19f
gene_accession_id,MGI:1346088
parameter_id,JAX_LDT_005_001
mouse_life_stage,Early adult
pvalue,0.8679817
