Gene_symbol,Nanp
Analysis_id,zhb5816274da657
Pvalue,0.1779343
mouse_strain,C57BL
Parameter_name,Lean mass
gene_accession_id,MGI:1914561
Mouse_life_stage,Early adult
Parameter_id,JAXLA_DXA_003_001
