parameter_id,TCPLA_XRY_033_001
mouse_strain,C57BL
pvalue,0.1036232
analysis_id,lh9e9m687wj731w
parameter_name,Tibia length
mouse_life_stage,Early adult
gene_symbol,Hrnr
gene_accession_id,MGI:3046938
