analysis_id,1885agei8j9b10d
pvalue,0.05618153
parameter_name,Retinal Blood Vessels Pattern
gene_accession_id,MGI:1917810
gene_symbol,Wars2
mouse_strain,C57BL
mouse_life_stage,E9.5
parameter_id,IMPC_EYE_026_001
