gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
mouse_strain,C57BL
pvalue,0.0803592
analysis_id,299064095x29ui4
parameter_name,Basophil differential count
