parameter_name,B cell number
mouse_strain,C57BL
analysis_id,2g570hrddg08292
gene_accession_id,MGI:1919935
mouse_life_stage,Early adult
pvalue,0.4609519
gene_symbol,Dnajc6
parameter_id,MGP_PBI_034_001
