analysis_id,4u5e7960o68bo04
mouse_strain,C57BL
pvalue,0.9775363
parameter_name,Cue Baseline % Freezing Time
parameter_id,HRWLLA_FEA_015_001
mouse_life_stage,Late adult
gene_accession_id,MGI:2446274
gene_symbol,Frmpd1
