analysis_id,5o60ju6qu4k304i
parameter_name,Bone Area
gene_symbol,Jun
gene_accession_id,MGI:96646
parameter_id,IMPC_DXA_010_001
mouse_strain,C51BL
mouse_life_stage,E9.5
pvalue,0.689606
