analysis_id,4o9422299h76u6y
mouse_strain,C57BL
parameter_name,Breath rate during sleep standard deviation
mouse_life_stage,E12.5
parameter_id,JAX_SLW_014_001
gene_accession_id,MGI:1914071
pvalue,0.4469844
gene_symbol,Bcs1l
