gene_symbol,Rab22a
parameter_name,Right total retinal thickness
mouse_strain,C57BL
pvalue,0.3672068
parameter_id,IMPC_EYE_062_001
gene_accession_id,MGI:105072
analysis_id,917yj71608wk4wj
mouse_life_stage,Early adult
