parameter_name,% Freezing duration habituation-1
parameter_id,ICS_FEA_016_001
gene_symbol,Tbl1xr1
pvalue,0.1719134
gene_accession_id,MGI:2441730
analysis_id,f96dfx7qxxx356s
mouse_life_stage,Early adult
mouse_strain,C57BL
