parameter_name,HR
mouse_strain,C57BL
gene_accession_id,MGI:1918764
parameter_id,IMPC_ECG_002_001
analysis_id,8oprq4exc12x268
mouse_life_stage,Early adult
pvalue,0.5376996
gene_symbol,Sfpq
