gene_symbol,Cntfr
gene_accession_id,MGI:99605
parameter_id,IMPC_FEA_003_001
analysis_id,se116gczpu9q368
parameter_name,Conditioning Baseline % Freezing Time
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1517319
