parameter_name,Edema
gene_symbol,Cds2
analysis_id,y8ts5uhzpgs14zd
parameter_id,IMPC_GEO_064_001
mouse_life_stage,Early adult
pvalue,0.3651397
gene_accession_id,MGI:1332236
mouse_strain,C57BL
