gene_symbol,Trpa1
mouse_life_stage,Early adult
gene_accession_id,MGI:3522699
pvalue,0.6561427
parameter_name,Effector CD8+ T cells - % of CD8+
analysis_id,0u1dx30zt6326u4
mouse_strain,C57BL
parameter_id,MGP_MLN_013_001
