analysis_id,ns5q90iz3v35ozm
mouse_strain,C57BL
parameter_id,ICS_FEA_019_001
gene_symbol,Car13
pvalue,0.6843344
mouse_life_stage,Early adult
parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1931322
