gene_symbol,Bmp7
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_accession_id,MGI:103302
pvalue,0.5773007
analysis_id,9ltu1d10zcfy1jr
mouse_life_stage,Early adult
mouse_strain,C57BL
