parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:1338022
mouse_strain,C57BL
analysis_id,50z7jlto0r1r920
mouse_life_stage,Early adult
parameter_name,cDCs CD11b Type
pvalue,0.9481845
gene_symbol,Opn3
