analysis_id,g761c0g03v9vgci
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1924054
mouse_strain,C57BL
gene_symbol,Kdm4c
pvalue,0.2912612
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_034_001
