gene_symbol,Mgst2
gene_accession_id,MGI:2448481
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,BMC/Body weight
analysis_id,l0grn8r922dg802
pvalue,0.9049722
parameter_id,HRWLLA_DXA_007_001
