analysis_id,wzc013ko45kud79
pvalue,0.5293029
parameter_name,Ly6Clow monocyte number
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_id,MGP_PBI_038_001
mouse_strain,C57BL
