gene_symbol,Dnajc5b
pvalue,0.4419001
parameter_name,Retina (combined)
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_092_002
gene_accession_id,MGI:1913576
mouse_strain,C57BL
analysis_id,rjp00120j39150m
