parameter_name,Retinal Blood Vessels
analysis_id,29165gat91ofgdz
pvalue,0.6182939
gene_symbol,Bmi1
parameter_id,IMPC_EYE_024_001
mouse_life_stage,E12.5
mouse_strain,C57BL
gene_accession_id,MGI:88174
