parameter_name,Pale yolk sac
gene_accession_id,MGI:1345282
mouse_strain,C57BL
parameter_id,IMPC_GEL_017_002
pvalue,0.8466657
analysis_id,z0f285s8ju4a1le
mouse_life_stage,Middle aged adult
gene_symbol,Slc30a4
