Gene_symbol,Sgip1
Parameter_id,M-G-P_014_001_001
mouse_strain,C57BL
gene_accession_id,MGI:1920344
Pvalue,0.6791546
Analysis_id,pdo2z72882kq3bp
Mouse_life_stage,Early adult
Parameter_name,Eye
