gene_symbol,Fgb
mouse_life_stage,E12.5
parameter_id,JAX_OFD_009_001
pvalue,0.3325073
mouse_strain,C57BL
gene_accession_id,MGI:99501
analysis_id,7sbm6kmb8hi1kc5
parameter_name,Whole arena average speed
