analysis_id,yc07758zqpm7s84
gene_accession_id,MGI:2685053
parameter_id,MGP_PBI_038_001
pvalue,0.8242785
parameter_name,Ly6Clow monocyte number
gene_symbol,Ntmt2
mouse_strain,C57BL
mouse_life_stage,Early adult
