analysis_id,02wi7031l75l443
gene_symbol,Bmi1
parameter_id,MGP_IMM_016_001
parameter_name,Naive CD8+ T cells - % of CD8+
mouse_life_stage,E15.5
mouse_strain,C57BL
pvalue,0.3995019
gene_accession_id,MGI:88174
