gene_symbol,F2
mouse_strain,C57BL
parameter_name,Total holepokes
analysis_id,q1m2e0p6f4a39pp
pvalue,0.4232696
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
parameter_id,JAXLA_HBD_001_001
