gene_symbol,Tnfsf8
analysis_id,mx03v24a962mb49
mouse_life_stage,Early adult
pvalue,0.2984947
mouse_strain,C57BL
parameter_id,IMPC_GEO_011_001
gene_accession_id,MGI:88328
parameter_name,Blood Vessel Morphology
