analysis_id,bwhiici21cn663p
parameter_name,Whole arena resting time
pvalue,0.973914
mouse_strain,B6J
gene_accession_id,MGI:1346344
gene_symbol,Nr0b2
parameter_id,JAXLA_OFD_007_001
mouse_life_stage,Early adult
