gene_accession_id,MGI:3046938
gene_symbol,Hrnr
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,TCPLA_GRS_011_001
pvalue,0.8612757
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
analysis_id,myqbox50j5vp02f
