gene_symbol,Sprr1b
gene_accession_id,MGI:106659
analysis_id,93y3qks29a51y3f
parameter_id,MGP_IMM_066_001
parameter_name,CD11b-high cDC - % of cDC
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.6380453
