gene_symbol,Arpc5l
mouse_life_stage,Early adult
pvalue,0.5298426
parameter_id,IMPC_EYE_016_001
analysis_id,u81yc0g4ki873rj
parameter_name,Lens
mouse_strain,C57BL
gene_accession_id,MGI:1921442
