parameter_name,% Freezing duration pre-cue-2
gene_accession_id,MGI:1914561
mouse_strain,C57BL
mouse_life_stage,E18.5
pvalue,0.8361983
parameter_id,ICS_FEA_019_001
analysis_id,gz6hojy5ck6e4a8
gene_symbol,Nanp
