parameter_name,Fusion of vertebrae
pvalue,0.9393616
analysis_id,90m5ilk13a78vc4
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_life_stage,Early adult
parameter_id,M-G-P_006_001_026
mouse_strain,C57BL
