parameter_name,110dB startle magnitude
parameter_id,ESLIM_011_001_006
mouse_strain,C57BL
gene_symbol,Tbl1xr1
gene_accession_id,MGI:2441730
pvalue,0.4449998
analysis_id,fe2y3ik9d4u7rns
mouse_life_stage,Late adult
