analysis_id,9sald3dma373120
parameter_id,MGP_PBI_004_001
mouse_strain,C57BL
gene_symbol,Rhbg
gene_accession_id,MGI:1927379
parameter_name,CD8+ alpha beta T cell percentage
mouse_life_stage,Early adult
pvalue,0.5073652
