parameter_name,Delayed embryonic development
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3j12xc4692y98d0
pvalue,0.7480972
parameter_id,IMPC_GEL_063_001
gene_symbol,Car13
gene_accession_id,MGI:1931322
